0.00931,33.2691,0.1994
0.01025,33.2551,0.1922
0.01042,33.3462,0.1756
0.01045,33.385,0.2065
0.01123,33.8121,0.1733
0.01202,33.2853,0.1975
0.01224,33.7891,0.1652
0.01243,33.7859,0.1658
0.01247,33.6302,0.1729
0.01313,33.9013,0.1731
0.01334,33.5402,0.1709
0.01359,33.8141,0.1472
0.0139,33.9552,0.1704
0.01408,33.9907,0.1587
0.01449,33.9663,0.1453
0.01457,33.9674,0.153
0.01462,33.985,0.1372
0.01489,34.0108,0.141
0.01496,34.0949,0.1522
0.01504,34.2256,0.1723
0.01515,34.2965,0.1714
0.01526,34.2064,0.1955
0.01544,33.941,0.164
0.01544,34.2959,0.1632
0.01556,33.837,0.1697
0.01595,34.5083,0.1551
0.01596,33.7807,0.1535
0.01602,33.9593,0.1422
0.01602,34.2287,0.1509
0.01611,34.0912,0.1474
0.01621,34.2489,0.1554
0.01647,34.1903,0.1885
0.01668,34.3512,0.1468
0.01673,33.9881,0.1622
0.01678,34.264,0.152
0.01681,34.5941,0.1445
0.01682,34.4474,0.1492
0.01693,34.3834,0.1423
0.01703,34.281,0.1601
0.01707,34.2179,0.1577
0.01708,34.2597,0.1614
0.0173,34.2381,0.1482
0.01773,34.314,0.1292
0.01916,34.649,0.1344
0.01948,34.6965,0.1402
0.01985,34.6015,0.1657
0.01994,34.7894,0.1428
0.0201,34.7748,0.1689
0.02045,34.3612,0.1576
0.0205,34.7775,0.142
0.02066,34.6173,0.1238
0.02146,34.872,0.1428
0.0216,34.7155,0.1379
0.02167,35.0145,0.1624
0.0218,34.8797,0.1404
0.02187,34.7118,0.1397
0.02193,34.7043,0.1502
0.02212,34.8502,0.1369
0.0228,35.1308,0.1394
0.02298,35.0491,0.1356
0.02321,34.9998,0.1451
0.02334,34.91,0.145
0.02362,35.173,0.1372
0.02395,34.9691,0.1378
0.02419,35.1339,0.1451
0.02419,35.13,0.1256
0.02431,34.9913,0.1402
0.02453,34.9496,0.1283
0.02466,35.0246,0.1286
0.02474,34.9834,0.1776
0.02484,35.1704,0.133
0.0251,34.8948,0.1253
0.02524,35.2009,0.1519
0.02562,35.2166,0.1256
0.02577,35.2677,0.1458
0.0259,35.413,0.1248
0.02602,35.2431,0.1491
0.0264,35.3443,0.128
0.02656,35.3367,0.135
0.02662,35.3773,0.1515
0.02676,35.3134,0.1695
0.02683,35.2201,0.1264
0.02739,35.4521,0.1214
0.02752,35.5783,0.1401
0.02762,35.6866,0.1301
0.02788,35.5858,0.1193
0.02818,35.3496,0.134
0.02827,35.4968,0.1434
0.02834,35.446,0.1203
0.02885,35.3396,0.1404
0.02922,35.6904,0.1283
0.02956,35.4367,0.1413
0.02968,35.3957,0.1407
0.02979,35.5105,0.1256
0.03002,35.1971,0.1513
0.03031,35.5865,0.1228
0.03043,35.6048,0.1523
0.03052,35.2309,0.5083
0.03079,35.4554,0.1509
0.0308,35.719,0.1311
0.03153,35.6255,0.1309
0.03153,35.6654,0.1223
0.03154,35.9145,0.1352
0.03156,35.6798,0.1199
0.0316,35.8349,0.1267
0.03185,35.5615,0.1196
0.0321,35.7904,0.1171
